id,Class
snr0_1088-134315-0000-converted_ch01.wav,0
snr0_1088-134315-0000-converted_ch02.wav,0
snr0_1088-134315-0000-converted_ch03.wav,0
snr0_1088-134315-0001-converted_ch01.wav,0
snr0_1088-134315-0001-converted_ch02.wav,0
snr0_1088-134315-0001-converted_ch03.wav,0
snr0_1088-134315-0002-converted_ch01.wav,0
snr0_1088-134315-0002-converted_ch02.wav,0
snr0_1088-134315-0002-converted_ch03.wav,0
snr0_1088-134315-0003-converted_ch01.wav,0
snr0_1088-134315-0003-converted_ch02.wav,0
snr0_1088-134315-0003-converted_ch03.wav,0
snr0_1088-134315-0004-converted_ch01.wav,0
snr0_1088-134315-0004-converted_ch02.wav,0
snr0_1088-134315-0004-converted_ch03.wav,0
snr0_1088-134315-0005-converted_ch01.wav,0
snr0_1088-134315-0005-converted_ch02.wav,0
snr0_1088-134315-0005-converted_ch03.wav,0
snr0_1088-134315-0006-converted_ch01.wav,0
snr0_1088-134315-0006-converted_ch02.wav,0
snr0_1088-134315-0006-converted_ch03.wav,0
snr0_1088-134315-0007-converted_ch01.wav,0
snr0_1088-134315-0007-converted_ch02.wav,0
snr0_1088-134315-0007-converted_ch03.wav,0
snr0_1088-134315-0008-converted_ch01.wav,0
snr0_1088-134315-0008-converted_ch02.wav,0
snr0_1088-134315-0008-converted_ch03.wav,0
snr0_1088-134315-0009-converted_ch01.wav,0
snr0_1088-134315-0009-converted_ch02.wav,0
snr0_1088-134315-0009-converted_ch03.wav,0
snr0_1088-134315-0010-converted_ch01.wav,0
snr0_1088-134315-0010-converted_ch02.wav,0
snr0_1088-134315-0010-converted_ch03.wav,0
snr0_1088-134315-0011-converted_ch01.wav,0
snr0_1088-134315-0011-converted_ch02.wav,0
snr0_1088-134315-0011-converted_ch03.wav,0
snr0_1088-134315-0012-converted_ch01.wav,0
snr0_1088-134315-0012-converted_ch02.wav,0
snr0_1088-134315-0012-converted_ch03.wav,0
snr0_1088-134315-0013-converted_ch01.wav,0
snr0_1088-134315-0013-converted_ch02.wav,0
snr0_1088-134315-0013-converted_ch03.wav,0
snr0_1088-134315-0014-converted_ch01.wav,0
snr0_1088-134315-0014-converted_ch02.wav,0
snr0_1088-134315-0014-converted_ch03.wav,0
snr0_1088-134315-0015-converted_ch01.wav,0
snr0_1088-134315-0015-converted_ch02.wav,0
snr0_1088-134315-0015-converted_ch03.wav,0
snr0_1088-134315-0016-converted_ch01.wav,0
snr0_1088-134315-0016-converted_ch02.wav,0
snr0_1088-134315-0016-converted_ch03.wav,0
snr0_1088-134315-0017-converted_ch01.wav,0
snr0_1088-134315-0017-converted_ch02.wav,0
snr0_1088-134315-0017-converted_ch03.wav,0
snr0_1088-134315-0018-converted_ch01.wav,0
snr0_1088-134315-0018-converted_ch02.wav,0
snr0_1088-134315-0018-converted_ch03.wav,0
snr0_1088-134315-0019-converted_ch01.wav,0
snr0_1088-134315-0019-converted_ch02.wav,0
snr0_1088-134315-0019-converted_ch03.wav,0
snr0_1088-134315-0020-converted_ch01.wav,0
snr0_1088-134315-0020-converted_ch02.wav,0
snr0_1088-134315-0020-converted_ch03.wav,0
snr0_1088-134315-0021-converted_ch01.wav,0
snr0_1088-134315-0021-converted_ch02.wav,0
snr0_1088-134315-0021-converted_ch03.wav,0
snr0_1088-134315-0022-converted_ch01.wav,0
snr0_1088-134315-0022-converted_ch02.wav,0
snr0_1088-134315-0022-converted_ch03.wav,0
snr0_1088-134315-0023-converted_ch01.wav,0
snr0_1088-134315-0023-converted_ch02.wav,0
snr0_1088-134315-0023-converted_ch03.wav,0
snr0_1088-134315-0024-converted_ch01.wav,0
snr0_1088-134315-0024-converted_ch02.wav,0
snr0_1088-134315-0024-converted_ch03.wav,0
snr0_1088-134315-0025-converted_ch01.wav,0
snr0_1088-134315-0025-converted_ch02.wav,0
snr0_1088-134315-0025-converted_ch03.wav,0
snr0_1088-134315-0026-converted_ch01.wav,0
snr0_1088-134315-0026-converted_ch02.wav,0
snr0_1088-134315-0026-converted_ch03.wav,0
snr0_1088-134315-0027-converted_ch01.wav,0
snr0_1088-134315-0027-converted_ch02.wav,0
snr0_1088-134315-0027-converted_ch03.wav,0
snr0_1088-134315-0028-converted_ch01.wav,0
snr0_1088-134315-0028-converted_ch02.wav,0
snr0_1088-134315-0028-converted_ch03.wav,0
snr0_1088-134315-0029-converted_ch01.wav,0
snr0_1088-134315-0029-converted_ch02.wav,0
snr0_1088-134315-0029-converted_ch03.wav,0
snr0_1088-134315-0030-converted_ch01.wav,0
snr0_1088-134315-0030-converted_ch02.wav,0
snr0_1088-134315-0030-converted_ch03.wav,0
snr0_1088-134315-0031-converted_ch01.wav,0
snr0_1088-134315-0031-converted_ch02.wav,0
snr0_1088-134315-0031-converted_ch03.wav,0
snr0_1088-134315-0032-converted_ch01.wav,0
snr0_1088-134315-0032-converted_ch02.wav,0
snr0_1088-134315-0032-converted_ch03.wav,0
snr0_1088-134315-0033-converted_ch01.wav,0
snr0_1088-134315-0033-converted_ch02.wav,0
snr0_1088-134315-0033-converted_ch03.wav,0
snr0_1088-134315-0034-converted_ch01.wav,0
snr0_1088-134315-0034-converted_ch02.wav,0
snr0_1088-134315-0034-converted_ch03.wav,0
snr0_1088-134315-0035-converted_ch01.wav,0
snr0_1088-134315-0035-converted_ch02.wav,0
snr0_1088-134315-0035-converted_ch03.wav,0
snr0_1088-134315-0036-converted_ch01.wav,0
